code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
601766,2024-12-19,7.85,7.8,7.87,7.78,64950600.0,1.0,0,0,0,0,0.06130043,0.5010741,0.57273447,-0.94444444,-0.12124412,-0.02570938,-1.0,-0.65569273,0.1,0.75959655
601766,2024-12-20,7.8,7.74,7.83,7.72,74340970.0,1.0,0,0,0,0,-0.13500293,0.39088817,0.67057054,-0.66666667,-0.36200937,-0.05994907,-1.0,-0.6457803,0.06,0.83803093
601766,2024-12-23,7.75,7.75,7.82,7.72,63319356.0,1.0,0,0,0,0,-0.36602075,0.15293832,0.60885496,-1.0,-0.52054072,-0.12912178,-1.0,-0.75710088,-0.01,0.14650617
601766,2024-12-24,7.79,8.03,8.05,7.75,139689068.0,1.0,0,0,0,0,0.40027403,-0.21574645,0.2113583,-1.0,-0.51845934,-0.17257861,-0.61666667,-0.67809561,-0.29,0.25371966
601766,2024-12-25,8.03,8.02,8.04,7.92,78216272.0,1.0,0,0,0,0,0.28613396,-0.63185701,0.15967258,-1.0,-0.60024956,-0.16499784,-1.0,-0.82670065,0.01,0.23766157
601766,2024-12-26,8.03,7.9,8.03,7.86,65891694.0,1.0,0,0,0,0,0.14259151,-0.73184125,0.19778681,-0.88888889,-0.51224446,-0.07501845,-1.0,-0.80626836,0.12,0.90252496
601766,2024-12-27,7.91,8.0,8.02,7.88,81599533.0,1.0,0,0,0,0,-0.31388291,-0.68514236,0.0374559,-0.77777778,-0.59487638,0.56251335,-1.0,-0.8544279,-0.1,0.39915802
601766,2024-12-30,8.05,8.02,8.19,8.01,93414185.0,1.0,0,0,0,0,-0.34286834,-0.65610302,-0.13627395,-0.88888889,-0.2321548,0.40140757,-1.0,-0.75568627,-0.02,0.25171468
601766,2024-12-31,8.02,8.03,8.14,8.0,124236050.0,1.0,0,0,0,0,0.46318778,-0.96986571,-0.56583043,-1.0,-0.6257068,-0.06409413,-0.575,-0.61395258,-0.01,0.12668886
601766,2025-01-02,8.01,7.63,8.07,7.58,146256474.0,1.0,0,0,0,0,0.40235064,-0.66034898,-0.66262215,-0.66666667,-0.41166393,-0.19874202,0.21666667,-0.27524015,0.42,0.76611166
601766,2025-01-03,7.66,7.5,7.74,7.47,100337876.0,1.0,0,0,0,0,0.25460063,-0.33035394,-0.62595571,-0.66666667,-0.48506527,-0.08527471,-1.0,-0.46648373,0.13,0.66999608
601766,2025-01-06,7.5,7.38,7.52,7.3,81664364.0,1.0,0,0,0,0,-0.19731688,-0.19022505,-0.57590703,-0.66666667,-0.29746699,-0.14209067,-1.0,-0.45980392,0.13,0.86359185
601766,2025-01-07,7.38,7.33,7.42,7.24,62356844.0,1.0,0,0,0,0,-0.46506166,-0.31729216,0.1375942,-0.22222222,-0.06750226,-0.3096146,-1.0,-0.26013712,0.05,0.75406146
601766,2025-01-08,7.35,7.32,7.41,7.19,76779046.0,1.0,0,0,0,0,-0.29594833,-0.24359309,-0.38901307,-0.11111111,-0.0985724,-0.43221946,-1.0,-0.2834476,-0.01,0.33969466
601766,2025-01-09,7.32,7.22,7.33,7.2,60916912.0,1.0,0,0,0,0,-0.41232877,0.51637598,-0.4879018,-0.11111111,-0.23626281,-0.5862994,-1.0,-0.18895633,-0.1,0.26409002
601766,2025-01-10,7.23,7.16,7.28,7.16,56295531.0,1.0,0,0,0,0,-0.44648797,0.27760057,-0.84268949,-0.22222222,-0.30126726,-0.80606754,-1.0,-0.20955738,-0.07,0.11783128
601766,2025-01-13,7.14,7.09,7.17,7.03,65442614.0,1.0,0,0,0,0,-0.31291585,0.27493411,-0.84650208,-0.44444444,-0.1351699,-0.86834888,-1.0,-0.15651322,-0.07,0.40782779
601766,2025-01-14,7.08,7.21,7.24,7.07,74869017.0,1.0,0,0,0,0,0.10737336,0.5381278,-0.84174739,-0.11111111,-0.0307744,-0.91191576,-1.0,-0.17129992,-0.13,0.8550753
601766,2025-01-15,7.21,7.16,7.22,7.12,53017462.0,1.0,0,0,0,0,-0.10166178,0.79363869,-0.92213261,-0.11111111,-0.06069252,-0.89457397,-1.0,-0.14268937,0.06,0.50870331
601766,2025-01-16,7.18,7.14,7.26,7.12,61325771.0,1.0,0,0,0,0,-0.24017595,0.78563157,-0.87933392,-0.11111111,-0.04759421,-0.70657828,-1.0,-0.34801331,0.02,0.60703812
601766,2025-01-17,7.15,7.16,7.19,7.07,45506063.0,1.0,0,0,0,0,-0.3009386,0.75032953,-0.90216782,-0.11111111,-0.06452286,-0.44718368,-1.0,-0.16934221,-0.02,0.3950919
601766,2025-01-20,7.23,7.12,7.26,7.1,67976285.0,1.0,0,0,0,0,-0.37600235,0.88259624,-0.65574324,-0.22222222,-0.04395671,-0.12240592,-1.0,-0.22802897,0.04,0.77048699
601766,2025-01-21,7.16,7.11,7.24,7.08,79873517.0,1.0,0,0,0,0,-0.214565,0.09399385,-0.27131627,-0.11111111,-0.012865,-0.02417184,-1.0,-0.42496576,0.01,0.35816227
601766,2025-01-22,7.09,7.01,7.11,6.96,83015228.0,1.0,0,0,0,0,-0.26509084,0.00074842,-0.00763568,-0.11111111,-0.12524347,0.46076149,0.06666667,-0.54703696,0.1,0.4913035
601766,2025-01-23,7.07,7.07,7.18,7.05,87391444.0,1.0,0,0,0,0,-0.42451172,0.16137996,0.08802249,-0.55555556,-0.1429248,0.63991147,0.25,-0.60786231,-0.06,0.29331901
601766,2025-01-24,7.08,7.14,7.19,7.04,80372474.0,1.0,0,0,0,0,0.31493062,0.19785642,0.03102312,-0.77777778,-0.0549976,0.63362436,0.03333333,-0.60450098,-0.07,0.53214774
601766,2025-01-27,7.15,7.13,7.22,7.13,59176845.0,1.0,0,0,0,0,0.01651036,0.37882034,0.32331327,-1.0,-0.26989282,0.62887486,-1.0,-0.72529838,0.01,0.40930414
601766,2025-02-05,7.18,7.02,7.18,6.99,73912132.0,1.0,0,0,0,0,-0.21474609,0.08748165,0.50278475,-0.22222222,-0.1969043,0.59198908,-1.0,-0.64619597,0.11,0.77519531
601766,2025-02-06,6.99,7.06,7.07,6.88,84533749.0,1.0,0,0,0,0,-0.39082031,0.31089671,0.33056649,-0.11111111,-0.09761215,0.56995215,0.1,-0.57969881,-0.04,0.69023438
601766,2025-02-07,7.05,7.15,7.2,6.99,102040059.0,1.0,0,0,0,0,0.18228862,0.30228769,0.0992892,-0.11111111,-0.14564615,0.59948709,-0.06666667,-0.48768569,-0.09,0.41974224
601766,2025-02-10,7.15,7.17,7.22,7.09,80362534.0,1.0,0,0,0,0,0.15218665,0.39554479,-0.55133571,-0.11111111,-0.03139732,0.66781491,-0.33333333,-0.54602306,-0.02,0.35064428
601766,2025-02-11,7.15,7.09,7.18,7.06,57060520.0,1.0,0,0,0,0,-0.03085335,0.35987036,-0.83379669,-0.11111111,-0.05988921,0.62012149,-1.0,-0.46090696,0.08,0.49091974
601766,2025-02-12,7.07,7.14,7.17,7.06,49503282.0,1.0,0,0,0,0,-0.16842414,0.39303835,-0.87453062,-0.22222222,-0.05064805,0.43692921,-1.0,-0.40129007,-0.05,0.43282562
601766,2025-02-13,7.14,7.1,7.18,7.09,60823344.0,1.0,0,0,0,0,-0.2397501,0.10314203,-0.89228708,-0.11111111,-0.10991164,0.46792891,-1.0,-0.54230995,0.04,0.33580633
601766,2025-02-14,7.09,7.22,7.23,7.08,86425561.0,1.0,0,0,0,0,0.40402265,-0.76499864,-0.76942692,-0.44444444,-0.20402613,0.44396913,-0.41666667,-0.53868699,-0.13,0.26117946
601766,2025-02-17,7.26,7.23,7.28,7.16,80427354.0,1.0,0,0,0,0,0.3235122,-0.40133499,-0.72365374,-0.55555556,-0.31274184,0.22072787,-0.4,-0.59761812,-0.01,0.66110461
601766,2025-02-18,7.23,7.23,7.38,7.19,121159337.0,1.0,0,0,0,0,0.22258002,-0.45841469,-0.59206173,-1.0,-0.38438779,-0.17147207,-0.20833333,-0.6404999,0.0,0.18813427
601766,2025-02-19,7.22,7.23,7.35,7.2,100609629.0,1.0,0,0,0,0,-0.05493755,-0.01010082,-0.65103527,-1.0,-0.03481485,-0.27727561,-0.18333333,-0.666992,0.0,0.8574356
601766,2025-02-20,7.21,7.11,7.21,7.04,107634301.0,1.0,0,0,0,0,-0.20163966,-0.37388342,-0.6219745,-0.11111111,-0.221744,-0.42259968,-0.075,-0.57438501,0.13,0.82451688
601766,2025-02-21,7.14,7.24,7.24,7.09,120648995.0,1.0,0,0,0,0,0.30731707,-0.24798976,-0.37130901,-0.22222222,-0.18493468,-0.50973273,-0.29166667,-0.61748634,-0.14,0.32507317
601766,2025-02-24,7.24,7.31,7.4,7.21,105483010.0,1.0,0,0,0,0,0.3130613,0.26575737,-0.36990075,-0.66666667,-0.15566404,-0.53891239,-0.5,-0.71958602,-0.07,0.24599766
601766,2025-02-25,7.26,7.19,7.32,7.17,83382028.0,1.0,0,0,0,0,0.16933594,-0.05248118,-0.34940224,-0.44444444,-0.23406052,-0.44719399,-1.0,-0.64328971,0.12,0.59599609
