code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
600660,2024-12-19,56.02,57.93,58.36,55.97,16163737.0,1.0,0,0,0,0,0.32980807,-0.67318571,-0.57739403,-0.88888889,-0.8996267,-0.27038047,-0.83333333,-0.98040368,-1.59,0.02957305
600660,2024-12-20,57.41,56.93,57.92,56.06,15348392.0,1.0,0,0,0,0,-0.01672862,0.06411611,-0.67083071,-0.77777778,-0.87865179,-0.28242548,-0.56666667,-0.94928529,1.04,0.98561362
600660,2024-12-23,56.92,57.22,57.85,56.68,15074146.0,1.0,0,0,0,0,-0.21912312,0.23470632,-0.65514625,-0.77777778,-0.70024697,-0.21710936,-0.51666667,-0.96336925,-0.3,0.05901351
600660,2024-12-24,57.1,57.57,57.78,56.88,11903764.0,1.0,0,0,0,0,-0.29770992,0.21711834,-0.59961128,-0.88888889,-0.75743323,-0.12114066,-0.61666667,-0.92535266,-0.37,0.21064996
600660,2024-12-25,57.19,58.83,59.28,57.19,12562543.0,1.0,0,0,0,0,0.44016843,0.46727845,-0.58448336,-1.0,-0.77483967,0.01217716,-0.86666667,-0.9686336,-1.31,0.01919311
600660,2024-12-26,58.85,58.42,58.92,57.98,7300421.0,1.0,0,0,0,0,0.2729497,-0.0391303,-0.23898929,-1.0,-0.80926911,0.36797693,-1.0,-0.19666993,0.42,0.96692112
600660,2024-12-27,58.17,58.97,59.06,57.76,10815107.0,1.0,0,0,0,0,0.2936166,0.12471908,0.06290293,-0.55555556,-0.90462677,0.45043491,-1.0,-0.81896552,-0.57,0.05747014
600660,2024-12-30,58.93,59.45,60.03,58.53,9158191.0,1.0,0,0,0,0,0.41575235,-0.638217,0.49024172,-1.0,-0.84437939,0.69668086,-1.0,-0.86058824,-0.5,0.06643151
600660,2024-12-31,59.51,59.7,60.45,59.17,11084461.0,1.0,0,0,0,0,0.46318778,-0.91130637,0.42688996,-1.0,-0.28735926,0.53825232,-1.0,-0.43366647,-0.26,0.06334443
600660,2025-01-02,59.71,57.83,59.89,57.39,14871523.0,1.0,0,0,0,0,0.40235064,-0.3681716,0.25802692,-0.88888889,-0.08838033,0.52677069,-0.28333333,-0.06018428,1.95,0.97022527
600660,2025-01-03,57.88,56.81,58.23,56.52,12355661.0,1.0,0,0,0,0,0.25460063,-0.32513692,0.21019717,-0.88888889,-0.15249269,0.37476289,0.36666667,-0.07800862,1.07,0.90364277
600660,2025-01-06,56.47,56.93,57.22,56.36,8986690.0,1.0,0,0,0,0,-0.19731688,0.38783596,0.25154815,-1.0,-0.19984599,0.07770177,-1.0,-0.12470588,-0.13,0.39620055
600660,2025-01-07,56.93,57.38,57.66,56.59,8673716.0,1.0,0,0,0,0,-0.46506166,0.18258392,0.17310269,-0.88888889,-0.15390144,-0.23035465,-1.0,-0.05093046,-0.47,0.27950675
600660,2025-01-08,57.38,58.62,58.82,56.75,11384160.0,1.0,0,0,0,0,0.36533568,0.13817425,0.00479337,-0.88888889,-0.24370669,-0.26809347,-1.0,-0.13437806,-1.29,0.03249168
600660,2025-01-09,58.84,58.43,58.95,57.92,6808798.0,1.0,0,0,0,0,0.11213307,-0.03801714,-0.06680339,-0.83333333,-0.54612015,-0.2418184,-1.0,-0.07558253,0.19,0.84618395
600660,2025-01-10,58.26,57.4,58.64,57.4,7602551.0,1.0,0,0,0,0,0.07532772,-0.24993158,0.20161966,-0.88888889,-0.14168343,-0.3223317,-1.0,-0.45436741,1.08,0.89117244
600660,2025-01-13,57.53,57.11,58.64,56.87,10766906.0,1.0,0,0,0,0,-0.03277886,0.3169824,-0.00574904,-0.83333333,-0.01314586,-0.30035583,-1.0,-0.05171401,0.3,0.89168297
600660,2025-01-14,57.11,58.59,58.87,56.79,10851655.0,1.0,0,0,0,0,-0.44191277,0.23918092,0.1435263,-0.33333333,-0.11226049,-0.31828513,-1.0,-0.09122944,-1.54,0.12194406
600660,2025-01-15,58.36,57.94,58.69,57.79,7902467.0,1.0,0,0,0,0,-0.10166178,0.26783827,-0.03375141,-0.11111111,-0.08700885,-0.23118707,-1.0,-0.0207477,0.68,0.92088793
600660,2025-01-16,58.14,58.17,58.91,57.41,7673238.0,1.0,0,0,0,0,-0.24017595,0.75235753,-0.1924822,-0.22222222,-0.24788121,0.46488058,-1.0,-0.56977882,-0.24,0.11867058
600660,2025-01-17,57.75,57.58,58.78,57.37,8559407.0,1.0,0,0,0,0,-0.3009386,0.88053405,-0.21907536,-0.33333333,-0.00618686,0.62878523,-1.0,-0.58437745,0.61,0.94945248
600660,2025-01-20,57.9,56.92,58.12,56.68,10005785.0,1.0,0,0,0,0,-0.37600235,0.91468511,-0.0742638,-0.11111111,-0.01201288,0.73324248,-1.0,-0.55157565,0.69,0.96362214
600660,2025-01-21,56.91,56.97,57.32,56.49,9046299.0,1.0,0,0,0,0,-0.36168133,0.58372076,0.02748946,-0.11111111,-0.00136069,0.76978401,-1.0,-0.34220309,-0.05,0.26304985
600660,2025-01-22,56.98,56.36,57.46,55.68,8721848.0,1.0,0,0,0,0,-0.41512014,0.53731195,0.15490098,-0.11111111,-0.01054107,0.68308369,-1.0,-0.08722863,0.64,0.89222201
600660,2025-01-23,56.39,55.89,56.76,55.68,10554080.0,1.0,0,0,0,0,0.14716797,0.66678349,0.06474627,-0.11111111,-0.00616272,0.63813823,0.9,-0.02679445,0.49,0.90877124
600660,2025-01-24,55.74,56.82,57.38,55.68,11436424.0,1.0,0,0,0,0,-0.08637874,0.71874935,0.04524433,-0.33333333,-0.01321808,0.69716294,0.56666667,-0.06614481,-0.97,0.08071135
600660,2025-01-27,56.77,57.01,57.63,56.65,10758659.0,1.0,0,0,0,0,0.35541227,0.44873093,0.61691324,-0.44444444,-0.02148792,0.78284768,0.6,-0.42574839,-0.2,0.11034011
600660,2025-02-05,57.16,56.78,57.5,56.27,8452333.0,1.0,0,0,0,0,0.00859375,-0.72516339,0.55566079,-0.66666667,-0.02214207,0.79200299,-1.0,-0.15040094,0.24,0.85507812
600660,2025-02-06,56.44,56.06,56.96,55.82,12812185.0,1.0,0,0,0,0,-0.26611328,-0.56888866,0.49741142,-0.22222222,-0.00314346,0.71968533,0.44166667,-0.67396832,0.75,0.97978516
600660,2025-02-07,56.08,55.98,56.09,54.1,17248671.0,1.0,0,0,0,0,-0.37336458,-0.19943157,0.48518703,-0.11111111,-0.05005293,0.62559777,0.45,-0.60574668,0.09,0.83880102
600660,2025-02-10,55.99,55.82,56.56,55.56,12710298.0,1.0,0,0,0,0,-0.46310035,-0.29639123,0.15904922,-0.22222222,-0.00104109,0.60365417,0.23333333,-0.10963455,0.16,0.20128856
600660,2025-02-11,55.83,54.72,55.95,54.54,14220894.0,1.0,0,0,0,0,-0.45176723,-0.14930755,0.37323636,-0.11111111,-0.00108924,0.73313486,0.65,-0.06274433,-1.15,0.02177309
600660,2025-02-12,54.72,54.94,55.07,54.21,12375391.0,1.0,0,0,0,0,0.31907831,0.19778066,0.24793428,-0.11111111,-0.0137478,0.51818096,0.76666667,-0.12744332,-0.23,0.22192931
600660,2025-02-13,54.63,54.44,54.82,54.26,15695049.0,1.0,0,0,0,0,0.19953143,-0.14998454,0.39397038,-0.16666667,-0.0031994,0.55658961,0.91666667,-0.34004299,0.53,0.80652089
600660,2025-02-14,54.34,54.86,54.86,54.15,15594755.0,1.0,0,0,0,0,0.06444054,-0.21853598,0.46176334,-0.33333333,-0.01974113,0.6041114,0.76666667,-0.85814771,-0.44,0.13307948
600660,2025-02-17,54.82,54.39,54.85,54.24,11503347.0,1.0,0,0,0,0,-0.22302439,-0.62053937,0.25328515,-0.11111111,-0.01048039,0.5121181,0.68333333,-0.1815697,0.49,0.93062061
600660,2025-02-18,54.25,54.93,55.47,54.24,13671796.0,1.0,0,0,0,0,-0.33811475,-0.03464535,0.24431473,-0.44444444,-0.01337966,0.41914484,0.46666667,-0.63249365,-0.57,0.05288837
600660,2025-02-19,54.98,54.75,55.29,54.43,11493536.0,1.0,0,0,0,0,0.16159251,0.0562496,-0.06905962,-0.66666667,-0.11307817,-0.05612816,-1.0,-0.52976771,0.19,0.95872365
600660,2025-02-20,54.53,54.86,55.16,54.26,9549666.0,1.0,0,0,0,0,-0.02010541,0.00765235,-0.35512712,-0.11111111,-0.08488992,-0.28385725,-1.0,-0.82623975,-0.11,0.36209252
600660,2025-02-21,54.98,55.27,55.69,54.44,14746268.0,1.0,0,0,0,0,0.30731707,0.06074058,-0.22270119,-0.11111111,-0.20298881,0.02747372,-0.08333333,-0.77380952,-0.43,0.19443902
600660,2025-02-24,55.09,54.35,55.09,54.22,15271635.0,1.0,0,0,0,0,-0.00253807,0.48591733,-0.22922957,-0.11111111,-0.06257794,-0.09484433,0.01666667,-0.87326694,0.96,0.91341273
600660,2025-02-25,54.35,53.51,54.74,53.48,14729100.0,1.0,0,0,0,0,-0.07216797,0.83314672,-0.01206666,-0.11111111,-0.00401237,0.09843496,0.61666667,-0.85739402,0.88,0.92802734
600660,2025-02-26,53.51,54.42,54.54,53.41,13764178.0,1.0,0,0,0,0,-0.2520992,0.67289488,-0.02626957,-0.11111111,-0.02234341,0.07713889,-0.01666667,-0.93046875,-0.95,0.0777192
600660,2025-02-27,54.42,54.09,54.63,53.63,13335108.0,1.0,0,0,0,0,-0.417269,0.5992568,-0.04964771,-0.22222222,-0.10162661,0.10419553,0.38333333,-0.83372411,0.34,0.81480758
600660,2025-02-28,54.29,53.82,54.86,53.57,12496965.0,1.0,0,0,0,0,-0.07003321,0.68805971,0.17302505,-0.77777778,-0.05276189,0.03356725,-1.0,-0.44607268,0.28,0.51181871
600660,2025-03-03,53.82,53.54,54.34,53.53,9866848.0,1.0,0,0,0,0,-0.20871604,0.6021055,0.03868957,-0.88888889,-0.02569069,-0.24640952,-1.0,-0.86979472,0.3,0.87998436
600660,2025-03-04,53.43,53.32,53.7,53.29,11066881.0,1.0,0,0,0,0,-0.30220746,0.63006377,0.06853472,-0.55555556,-0.00577397,-0.35925866,-1.0,-0.21735731,0.23,0.34277897
600660,2025-03-05,53.37,53.57,53.94,53.07,10518534.0,1.0,0,0,0,0,0.33597108,0.20773935,0.1676048,-0.22222222,-0.07758746,-0.54986248,-1.0,-0.24692082,-0.27,0.17448222
600660,2025-03-06,53.51,53.37,53.82,53.2,13087624.0,1.0,0,0,0,0,-0.13780297,0.10576701,-0.11088409,-0.22222222,-0.01141156,-0.70639489,-1.0,-0.18247604,0.21,0.87793198
600660,2025-03-07,53.21,53.57,53.78,52.62,14789571.0,1.0,0,0,0,0,-0.22347078,-0.16040935,0.14653688,-0.11111111,-0.04930069,-0.4213305,0.375,-0.18380915,-0.21,0.09253469
600660,2025-03-10,53.67,54.16,54.17,53.46,13020896.0,1.0,0,0,0,0,0.33398476,-0.57532554,0.30693852,-0.22222222,-0.22827677,-0.17270123,-1.0,-0.7506844,-0.61,0.07787766
600660,2025-03-11,53.65,54.5,55.09,53.43,16526757.0,1.0,0,0,0,0,0.32988281,-0.6353504,0.44614332,-0.33333333,-0.18035316,0.0488942,-0.25,-0.96304985,-0.36,0.10394685
600660,2025-03-12,54.5,56.43,56.73,54.34,23329520.0,1.0,0,0,0,0,0.35983591,-0.95887581,0.61253537,-0.11111111,-0.76373611,-0.46016014,-0.96666667,-0.95971842,-2.02,0.98554405
600660,2025-03-13,56.43,56.36,56.95,55.9,10561617.0,1.0,0,0,0,0,0.15885569,-0.41462824,0.72632873,-0.88888889,-0.38867758,0.00944209,-1.0,-0.97830336,0.08,0.47920328
600660,2025-03-14,56.36,58.72,58.83,56.26,22844011.0,1.0,0,0,0,0,0.27162664,-0.1748605,0.33681451,-1.0,-0.90990489,-0.36917327,-1.0,-0.96442533,-2.47,0.0296817
600660,2025-03-17,58.84,58.45,58.84,58.21,11066156.0,1.0,0,0,0,0,-0.04280688,-0.10129288,0.41920953,-1.0,-0.45698111,-0.01642639,-1.0,-0.95186852,0.28,0.88506646
600660,2025-03-18,58.52,57.83,58.75,57.12,12437861.0,1.0,0,0,0,0,-0.21403475,-0.42215627,0.40655083,-0.66666667,-0.83531127,0.13481297,-1.0,-0.93649863,0.65,0.9552909
600660,2025-03-19,57.4,55.02,57.4,54.3,39916791.0,1.0,0,0,0,0,-0.340625,0.08372024,0.1757057,-0.11111111,-0.46339035,-0.13026622,-0.34166667,-0.1477717,2.94,0.98515335
600660,2025-03-20,54.96,54.47,55.19,54.34,21456209.0,1.0,0,0,0,0,-0.39847716,0.4572199,0.30207249,-0.33333333,-0.01615101,-0.05722684,0.025,-0.11491108,0.57,0.0575083
600660,2025-03-21,54.53,54.24,55.01,54.05,17669152.0,1.0,0,0,0,0,0.27952372,0.47374481,0.35801752,-0.55555556,-0.01212286,-0.00331099,0.78333333,-0.08891929,-0.24,0.13803202
600660,2025-03-24,54.53,55.28,56.23,54.24,23281706.0,1.0,0,0,0,0,0.41098965,0.50619295,0.44205579,-0.77777778,-0.01568798,0.13657444,0.51666667,-0.12763878,-1.08,0.06481843
600660,2025-03-25,55.59,55.32,55.63,55.01,10201369.0,1.0,0,0,0,0,0.35778385,0.48671193,0.50347609,-0.88888889,-0.16842643,0.16523176,-1.0,-0.13345057,-0.05,0.48936585
600660,2025-03-26,55.32,55.09,55.43,54.82,8346940.0,1.0,0,0,0,0,0.02047981,0.41898226,0.54384042,-0.77777778,-0.24309703,0.03760789,-1.0,-0.14645577,0.25,0.92090891
600660,2025-03-27,55.1,55.71,56.25,54.86,13562745.0,1.0,0,0,0,0,0.36154446,-0.18305599,0.63333582,-0.88888889,-0.04358618,-0.01079755,-1.0,-0.13261719,-0.65,0.07081545
600660,2025-03-28,55.97,55.72,56.1,55.57,8774406.0,1.0,0,0,0,0,0.44147483,-0.64199054,0.69007776,-0.94444444,-0.47435016,-0.00831329,-1.0,-0.06486909,-0.01,0.2058135
600660,2025-03-31,55.72,56.03,56.91,55.57,13760504.0,1.0,0,0,0,0,0.44042512,-0.83052802,0.60812288,-1.0,-0.0214752,-0.16915889,-1.0,-0.05839844,-0.33,0.11173947
600660,2025-04-01,56.04,55.39,56.32,55.17,13564463.0,1.0,0,0,0,0,0.20411547,-0.36492053,0.55087708,-0.66666667,-0.08783499,-0.41655486,-1.0,-0.05176792,0.67,0.96060074
600660,2025-04-02,55.17,54.87,55.38,54.06,13780867.0,1.0,0,0,0,0,-0.1890232,-0.21630425,0.55471075,-0.33333333,-0.49679684,0.71880026,-1.0,-0.89240383,0.55,0.94773791
600660,2025-04-03,54.34,54.44,54.86,53.78,11638442.0,1.0,0,0,0,0,-0.38309282,0.3514734,0.39747716,-0.33333333,-0.0588733,0.53744729,-1.0,-0.88908416,0.45,0.79894696
600660,2025-04-07,51.65,51.35,52.38,49.46,33003756.0,1.0,0,0,0,0,-0.46283652,0.55847743,0.09235061,-1.0,-0.10195949,0.86344909,0.95,-0.92382812,3.22,0.02223956
600660,2025-04-08,51.66,51.35,51.79,50.11,25484500.0,1.0,0,0,0,0,0.45523698,0.5973353,-0.35377053,-1.0,-0.23518316,0.90462055,0.96666667,-0.2962312,0.0,0.6937183
600660,2025-04-09,50.24,51.21,51.21,49.63,22818874.0,1.0,0,0,0,0,0.21013645,-0.00544133,-0.26965198,-1.0,-0.13303033,0.84159103,0.96666667,-0.19223263,0.15,0.94794307
600660,2025-04-10,53.77,52.23,53.84,51.06,20270419.0,1.0,0,0,0,0,0.18674464,-0.33063762,-0.22212249,-0.44444444,-0.86056359,0.83907293,0.91666667,-0.09502439,-1.07,0.12017544
600660,2025-04-11,52.14,52.65,52.79,51.39,11934697.0,1.0,0,0,0,0,0.20042893,-0.37232944,-0.20345167,-0.66666667,-0.20976167,0.71308683,-1.0,-0.04645715,-0.43,0.09672387
600660,2025-04-14,53.1,51.78,53.1,51.67,14970074.0,1.0,0,0,0,0,-0.28929407,-0.25534026,-0.08814537,-0.22222222,-0.02885123,0.64403812,-1.0,-0.02185792,0.91,0.94286271
600660,2025-04-15,51.77,52.23,52.41,51.47,10470928.0,1.0,0,0,0,0,-0.34168943,-0.2233404,-0.21318576,-0.44444444,-0.05404501,0.48637431,-1.0,-0.13493458,-0.48,0.03746341
600660,2025-04-16,52.43,52.5,52.5,51.09,13301732.0,1.0,0,0,0,0,-0.37816764,-0.40289421,-0.22748585,-0.55555556,-0.76009279,0.44340709,-1.0,-0.7607338,-0.28,0.05771105
600660,2025-04-17,52.19,51.99,52.59,51.44,15153773.0,1.0,0,0,0,0,-0.4625731,0.00766129,-0.29391348,-0.33333333,-0.7891358,0.41133904,-1.0,-0.24360726,0.54,0.95077013
600660,2025-04-18,52.23,51.77,53.33,51.21,18169131.0,1.0,0,0,0,0,0.15334373,0.26313357,-0.15276873,-0.66666667,-0.03663136,0.30276709,-0.18333333,-0.60550459,0.23,0.82296744
600660,2025-04-21,51.65,52.99,53.24,51.65,15455107.0,1.0,0,0,0,0,0.22333788,0.45839815,-0.20728562,-0.88888889,-0.1635511,0.23676604,-1.0,-0.86023814,-1.28,0.08003509
600660,2025-04-22,52.81,53.52,53.72,52.26,15132142.0,1.0,0,0,0,0,0.29832261,0.82550044,-0.13649853,-0.55555556,-0.82691773,0.17653624,-1.0,-0.89201328,-0.55,0.05461283
600660,2025-04-23,53.75,54.41,54.7,53.33,13780291.0,1.0,0,0,0,0,0.26935075,0.88200147,-0.19196146,-1.0,-0.85177256,-0.44642182,-1.0,-0.88700234,-0.93,0.07886528
600660,2025-04-24,54.26,54.51,54.87,54.21,7504863.0,1.0,0,0,0,0,0.39851823,0.91840719,0.1131163,-1.0,-0.41212407,0.41746873,-1.0,-0.90396252,-0.11,0.51423835
600660,2025-04-25,54.64,54.55,54.76,54.37,6091037.0,1.0,0,0,0,0,0.38046022,0.53159482,0.32204825,-1.0,-0.759909,0.67386631,-1.0,-0.92052334,0.04,0.67554125
600660,2025-04-28,54.55,54.51,55.01,54.21,6248637.0,1.0,0,0,0,0,0.23955486,-0.40387092,0.45294993,-0.88888889,-0.1339005,0.76675946,-1.0,-0.96892103,0.04,0.35601328
600660,2025-04-29,54.74,55.61,55.77,54.49,10541070.0,1.0,0,0,0,0,0.35567111,-0.03923103,0.62765182,-1.0,-0.85620452,0.85911038,-1.0,-0.96935167,-1.15,0.04807692
600660,2025-04-30,55.75,55.6,56.23,55.45,9448998.0,1.0,0,0,0,0,-0.0254071,0.32985204,0.67048049,-1.0,-0.05055804,0.81902917,-1.0,-0.63177533,0.01,0.66185992
600660,2025-05-06,55.29,55.49,55.73,54.63,10834960.0,1.0,0,0,0,0,-0.30013669,0.13841614,0.62125077,-0.22222222,-0.55338515,0.76712564,-1.0,-0.81903459,0.12,0.89777387
600660,2025-05-07,55.68,55.07,55.94,54.85,12736986.0,1.0,0,0,0,0,-0.43441343,-0.13088723,0.55883978,-0.22222222,-0.08931543,0.5568828,-1.0,-0.78808594,0.44,0.88922506
600660,2025-05-08,54.85,55.72,55.76,54.66,8528327.0,1.0,0,0,0,0,0.18969555,-0.01849328,0.27177469,-0.11111111,-0.19680815,0.36055752,-1.0,-0.20132787,-0.68,0.05571819
600660,2025-05-09,56.07,55.4,56.07,55.29,7771513.0,1.0,0,0,0,0,0.06820843,-0.16927318,-0.06941112,-0.33333333,-0.16453122,0.04171096,-1.0,-0.04979496,0.32,0.69867291
600660,2025-05-12,55.57,56.15,56.52,55.57,8247234.0,1.0,0,0,0,0,0.32308743,0.10595409,-0.22000345,-0.33333333,-0.04766132,-0.43171658,-1.0,-0.07264206,-0.76,0.11660812
600660,2025-05-13,56.26,55.68,56.46,55.63,8496737.0,1.0,0,0,0,0,0.13668293,-0.23275038,-0.21321418,-0.11111111,-0.12688371,-0.29038006,-1.0,-0.06110894,0.48,0.88936585
600660,2025-05-14,55.69,55.52,55.84,54.84,8569653.0,1.0,0,0,0,0,-0.00321951,0.27728212,-0.34939535,-0.11111111,-0.54005911,-0.10420192,-1.0,-0.07318501,0.16,0.7684878
600660,2025-05-15,55.33,55.94,56.26,55.26,9118399.0,1.0,0,0,0,0,-0.2382904,-0.44919194,-0.51796284,-0.55555556,-0.07830671,0.27449212,-1.0,-0.11631538,-0.43,0.04527713
600660,2025-05-16,55.69,56.33,56.35,55.44,7045543.0,1.0,0,0,0,0,0.39473171,-0.45280874,-0.1875256,-1.0,-0.58922733,0.17257731,-1.0,-0.10306461,-0.39,0.12970915
600660,2025-05-19,55.97,56.1,56.41,55.53,6724863.0,1.0,0,0,0,0,-0.02333073,-0.56453426,0.201564,-1.0,-0.28192635,0.27680989,-1.0,-0.13716295,0.23,0.87060547
600660,2025-05-20,56.25,56.69,56.93,55.97,7210729.0,1.0,0,0,0,0,0.23274181,-0.57840207,0.5749041,-1.0,-0.77379327,0.26361843,-1.0,-0.63095238,-0.6,0.09691888
600660,2025-05-21,56.74,56.44,57.24,56.3,9784289.0,1.0,0,0,0,0,0.01697892,-0.33246714,-0.01219542,-0.83333333,-0.09735488,-0.03652893,-0.13333333,-0.83632812,0.26,0.7407299
600660,2025-05-22,56.27,58.24,58.24,56.17,16071614.0,1.0,0,0,0,0,0.44472656,-0.66433891,-0.34214716,-0.94444444,-0.66749435,-0.28104909,-0.73333333,-0.94409695,-1.83,0.01074219
600660,2025-05-23,58.05,59.53,60.1,57.85,16996702.0,1.0,0,0,0,0,0.45187427,-0.7375268,-0.65999308,-1.0,-0.9169983,-0.69483237,-0.91666667,-0.98065651,-1.3,0.02596642
600660,2025-05-26,59.42,59.02,59.87,58.65,9988271.0,1.0,0,0,0,0,0.27421875,-0.851937,-0.55067019,-1.0,-0.04972637,-0.40994363,-0.8,-0.97556685,0.51,0.95322266
600660,2025-05-27,59.06,57.85,59.34,57.84,10527160.0,1.0,0,0,0,0,-0.15517578,-0.90862143,-0.56065166,-0.88888889,-0.02423786,-0.35845637,-0.51666667,-0.93530102,1.19,0.96611328
600660,2025-05-28,58.1,57.9,58.55,57.86,6515926.0,1.0,0,0,0,0,-0.3601993,-0.78220196,-0.39189365,-0.88888889,-0.12008006,-0.22405295,-1.0,-0.92647634,-0.05,0.27334896
600660,2025-05-29,58.24,57.6,58.48,57.6,7518899.0,1.0,0,0,0,0,-0.47402851,-0.88535356,-0.29023299,-0.55555556,-0.01903038,-0.15148212,-1.0,-0.089914,0.3,0.93789062
600660,2025-05-30,57.62,57.23,57.93,57.23,7278401.0,1.0,0,0,0,0,-0.17679234,-0.82985071,-0.23779394,-0.44444444,-0.01494423,-0.03972619,-1.0,-0.04399687,0.38,0.72953702
600660,2025-06-03,57.23,57.33,57.62,56.65,8854122.0,1.0,0,0,0,0,-0.35738025,-0.2870167,-0.09550729,-0.33333333,-0.15376698,0.09140438,-1.0,-0.06161972,-0.1,0.36285435
600660,2025-06-04,57.41,56.27,57.72,56.16,11338364.0,1.0,0,0,0,0,-0.47529779,0.11806477,0.16430137,-0.11111111,-0.00377538,0.26709623,0.81666667,-0.03769531,1.07,0.97871509
600660,2025-06-05,56.33,57.2,57.39,56.22,10645721.0,1.0,0,0,0,0,-0.12580519,0.06139714,0.1255124,-0.11111111,-0.01603543,0.28181374,0.55,-0.06347656,-0.94,0.07127514
600660,2025-06-06,57.2,57.14,57.37,56.96,5340384.0,1.0,0,0,0,0,-0.40792041,0.01176248,-0.39584239,-0.33333333,-0.01038245,-0.11158677,-1.0,-0.04450517,0.06,0.58164261
600660,2025-06-09,57.14,56.81,57.23,56.74,5837875.0,1.0,0,0,0,0,-0.4628075,0.04487818,-0.5352063,-0.11111111,-0.00746434,-0.18039316,-1.0,-0.01758156,0.33,0.9170246
600660,2025-06-10,56.81,56.55,57.11,56.29,6179927.0,1.0,0,0,0,0,-0.27866615,0.08531019,-0.5629436,-0.11111111,-0.00900542,-0.11704541,-1.0,-0.02068293,0.27,0.68701248
600660,2025-06-11,56.72,57.66,58.4,56.72,11927211.0,1.0,0,0,0,0,0.3699084,-0.28763065,-0.14472007,-0.11111111,-0.01185278,0.37804044,-0.11666667,-0.40335479,-1.13,0.0331384
600660,2025-06-12,57.43,57.24,57.65,57.09,5310974.0,1.0,0,0,0,0,0.16244397,-0.72156434,-0.22685426,-0.55555556,-0.09755883,0.33917093,-1.0,-0.05833008,0.43,0.91803119
