code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
300274,2024-12-19,73.27,73.54,73.84,72.57,20626604.0,1.0,0,0,0,0,0.06130043,0.52540158,-0.60824522,-0.11111111,-0.04782627,-0.80590281,-1.0,-0.20968058,0.17,0.8315707
300274,2024-12-20,73.66,72.38,73.71,72.32,26922365.0,1.0,0,0,0,0,-0.13500293,0.93480224,-0.3836272,-0.11111111,-0.00212967,-0.79292468,-1.0,-0.13099667,1.18,0.98806029
300274,2024-12-23,71.96,73.26,74.98,71.94,48455125.0,1.0,0,0,0,0,-0.36602075,-0.02750078,0.70262707,-0.11111111,-0.0016857,-0.11328545,0.58333333,-0.9539667,-0.9,0.01761597
300274,2024-12-24,73.02,76.72,77.25,72.88,63635624.0,1.0,0,0,0,0,0.40027403,-0.2489323,0.64770244,-0.55555556,-0.07358803,0.37746783,-0.28333333,-0.98648119,-3.54,0.00920125
300274,2024-12-25,76.69,76.11,77.0,75.23,30709555.0,1.0,0,0,0,0,0.28613396,-0.24174061,0.47933255,-0.88888889,-0.84680554,0.31775086,-1.0,-0.97784748,0.63,0.83176655
300274,2024-12-26,76.3,76.2,76.69,75.23,25639305.0,1.0,0,0,0,0,0.14259151,-0.44488481,0.46397005,-0.55555556,-0.84789889,0.30424292,-1.0,-0.96199804,-0.1,0.48815815
300274,2024-12-27,76.01,73.94,76.1,73.65,36105132.0,1.0,0,0,0,0,-0.31388291,-0.33642062,0.46833882,-0.33333333,-0.09704311,0.32776292,-0.01666667,-0.98883229,2.32,0.98276875
300274,2024-12-30,73.84,73.36,74.87,73.14,23142608.0,1.0,0,0,0,0,-0.34286834,-0.53686996,0.4833855,-0.33333333,-0.00703625,0.29119655,-1.0,-0.95372549,0.59,0.90368411
300274,2024-12-31,73.27,72.13,75.44,71.83,30968578.0,1.0,0,0,0,0,-0.34041512,-0.3224934,0.47910734,-0.55555556,-0.00226161,0.29967332,-1.0,-0.09719773,1.26,0.89122773
300274,2025-01-02,72.14,70.25,72.49,69.76,31772899.0,1.0,0,0,0,0,-0.39343781,0.29049124,0.38988224,-0.61111111,-0.00734104,0.3093014,0.48333333,-0.06038032,1.92,0.02321254
300274,2025-01-03,70.27,68.22,70.72,68.17,28606898.0,1.0,0,0,0,0,-0.24295223,0.24280532,0.32580743,-0.44444444,-0.00203962,0.2163603,-1.0,-0.06801254,-2.08,0.02761457
300274,2025-01-06,69.02,70.01,71.48,68.29,40199839.0,1.0,0,0,0,0,0.32305131,0.16210481,0.24723826,-0.77777778,-0.02866308,0.25234848,0.78333333,-0.28803922,-1.83,0.01899726
300274,2025-01-07,69.46,70.01,70.34,68.63,21804135.0,1.0,0,0,0,0,-0.2071834,-0.09326552,0.12033171,-0.66666667,-0.06389815,0.02522243,-1.0,-0.10381978,0.0,0.84546878
300274,2025-01-08,69.66,71.11,72.08,69.13,36266774.0,1.0,0,0,0,0,0.36533568,0.15476853,0.04890572,-0.77777778,-0.03871445,0.17097303,0.46666667,-0.06562194,-1.13,0.03777647
