code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
600036,2024-12-19,35.86,35.53,36.0,35.51,65410240.0,1.0,0,0,0,0,0.06130043,0.50970004,-0.23799084,-1.0,-0.03664575,-0.24842357,-1.0,-0.42308446,0.5,0.93155112
600036,2024-12-20,35.55,35.42,35.77,35.38,58020990.0,1.0,0,0,0,0,-0.13500293,0.15709292,-0.31559523,-0.66666667,-0.10287478,-0.48624693,-1.0,-0.37301743,0.11,0.88784498
600036,2024-12-23,35.5,35.83,36.16,35.49,96606144.0,1.0,0,0,0,0,-0.36602075,-0.13130349,-0.1861577,-0.77777778,-0.2536331,-0.36567917,0.19166667,-0.50636631,-0.44,0.0420826
600036,2024-12-24,35.83,36.65,36.71,35.81,106316816.0,1.0,0,0,0,0,0.40027403,-0.19180542,-0.38234114,-1.0,-0.74249193,-0.23026197,-0.8,-0.56935737,-0.87,0.08457322
600036,2024-12-25,36.66,36.82,36.97,36.43,80897895.0,1.0,0,0,0,0,0.44016843,-0.54144192,-0.56033324,-1.0,-0.77540321,-0.30231616,-0.7,-0.55400902,-0.18,0.11310223
600036,2024-12-26,36.82,36.89,36.95,36.45,57710798.0,1.0,0,0,0,0,0.40350362,-0.5811093,-0.35831583,-0.88888889,-0.76864227,-0.02983558,-1.0,-0.59000979,-0.08,0.87120767
600036,2024-12-27,36.89,36.76,37.04,36.24,74948270.0,1.0,0,0,0,0,-0.00058743,-0.86313226,-0.42363098,-0.33333333,-0.87655072,0.0450352,-1.0,-0.94710031,0.14,0.78167221
600036,2024-12-30,36.76,37.02,37.19,36.68,72650097.0,1.0,0,0,0,0,0.41575235,-0.82115695,-0.18838316,-1.0,-0.43145128,0.15854011,-1.0,-0.84647059,-0.28,0.10503625
600036,2024-12-31,36.97,36.72,37.28,36.72,68890659.0,1.0,0,0,0,0,0.3379675,-0.69617661,0.26750461,-1.0,-0.25122339,0.38239801,-1.0,-0.79365079,0.32,0.55531623
600036,2025-01-02,36.77,35.98,36.91,35.83,68706981.0,1.0,0,0,0,0,0.28667973,-0.69112514,0.34263299,-1.0,-0.20801745,0.35469748,-1.0,-0.13409135,0.79,0.8761998
600036,2025-01-03,36.07,36.12,36.48,36.01,73050109.0,1.0,0,0,0,0,0.118148,-0.60295954,0.32228561,-1.0,-0.34109703,0.42645638,-1.0,-0.54312034,-0.15,0.49138269
600036,2025-01-06,36.35,36.49,36.54,35.63,66048380.0,1.0,0,0,0,0,-0.37289463,-0.25692002,0.44723523,-1.0,-0.8083336,0.74665097,-1.0,-0.41156863,-0.39,0.16451234
600036,2025-01-07,36.41,36.35,36.58,36.08,52734375.0,1.0,0,0,0,0,-0.2071834,-0.24523933,0.47543356,-1.0,-0.04241901,0.5093061,-1.0,-0.19177277,0.15,0.9351145
600036,2025-01-08,36.28,36.7,36.96,36.27,80423576.0,1.0,0,0,0,0,0.36533568,-0.22010191,0.16793906,-1.0,-0.043599,0.06280807,0.06666667,-0.22193928,-0.38,0.09708358
600036,2025-01-09,36.82,36.44,36.84,36.28,47846906.0,1.0,0,0,0,0,0.11213307,-0.28087898,0.21618766,-0.55555556,-0.18118807,0.22465926,-1.0,-0.22420208,0.28,0.88874755
600036,2025-01-10,36.76,36.42,36.86,36.26,51522132.0,1.0,0,0,0,0,0.07532772,0.10096829,0.3356024,-0.66666667,-0.62786749,0.22769942,-1.0,-0.12122993,0.02,0.17165786
600036,2025-01-13,36.38,36.51,36.58,36.01,64888722.0,1.0,0,0,0,0,-0.03277886,0.23617903,0.04957426,-0.88888889,-0.5862882,0.35186489,-1.0,-0.07463271,-0.09,0.34363992
600036,2025-01-14,36.53,37.24,37.35,36.35,75771504.0,1.0,0,0,0,0,0.10737336,0.42234436,-0.20574825,-0.55555556,-0.55114514,0.42029991,-0.71666667,-0.18931088,-0.78,0.31791512
600036,2025-01-15,37.37,37.97,38.31,37.27,85263010.0,1.0,0,0,0,0,0.35620723,0.31759802,-0.05348249,-0.33333333,-0.71962814,-0.06765659,-0.81666667,-0.71051086,-0.79,0.02806571
600036,2025-01-16,37.98,38.3,38.45,37.87,63419456.0,1.0,0,0,0,0,0.31661779,0.41972713,0.11618456,-0.77777778,-0.82752688,0.02195909,-1.0,-0.87453513,-0.35,0.90879765
600036,2025-01-17,38.27,38.04,38.46,37.5,50930921.0,1.0,0,0,0,0,0.09376222,0.14170427,0.31113534,-0.55555556,-0.48564,0.18890078,-1.0,-0.67678152,0.28,0.88414157
600036,2025-01-20,38.29,37.49,38.38,37.48,58066413.0,1.0,0,0,0,0,-0.12575787,-0.1989338,0.34457237,-0.22222222,-0.03423264,0.22133983,-1.0,-0.42669798,0.59,0.95540778
600036,2025-01-21,37.68,37.51,37.85,37.39,42881356.0,1.0,0,0,0,0,-0.36168133,-0.24272032,-0.21142665,-0.11111111,-0.03032027,0.37965822,-1.0,-0.57288202,-0.02,0.29061584
600036,2025-01-22,37.51,36.86,37.53,36.74,63025447.0,1.0,0,0,0,0,-0.41512014,-0.28932323,-0.07373515,-0.11111111,-0.15304027,0.22795616,-1.0,-0.05163309,0.69,0.9016025
600036,2025-01-23,37.07,37.22,37.59,36.93,64920332.0,1.0,0,0,0,0,0.14716797,-0.30901449,-0.14460689,-0.22222222,-0.05805244,0.35853483,0.025,-0.05319773,-0.38,0.06964251
600036,2025-01-24,37.06,37.62,37.89,36.87,61499353.0,1.0,0,0,0,0,0.31493062,-0.2361814,-0.13160386,-0.22222222,-0.04090379,0.48350148,-1.0,-0.11780822,-0.43,0.18682822
600036,2025-01-27,37.92,37.98,38.28,37.89,56299046.0,1.0,0,0,0,0,0.35541227,-0.03503794,0.04852103,-0.66666667,-0.31394494,0.55858281,-1.0,-0.80551751,-0.39,0.06596951
600036,2025-02-05,38.17,37.38,38.22,37.28,54022559.0,1.0,0,0,0,0,0.00859375,-0.15173882,0.15418419,-0.55555556,-0.04911148,0.46118886,-1.0,-0.19479757,0.65,0.93085938
600036,2025-02-06,37.38,37.56,37.73,37.12,49880831.0,1.0,0,0,0,0,-0.26611328,-0.43658422,-0.02108673,-0.33333333,-0.12685028,0.29434553,-1.0,-0.14668492,-0.2,0.42587891
600036,2025-02-07,37.47,37.56,37.75,37.34,55764556.0,1.0,0,0,0,0,-0.37336458,-0.82888609,-0.30689971,-0.11111111,-0.10898559,0.38425181,-1.0,-0.04964816,0.0,0.67945714
600036,2025-02-10,37.56,37.94,38.24,37.34,62264933.0,1.0,0,0,0,0,-0.46310035,-0.60092192,-0.42027594,-0.11111111,-0.07853848,0.31180239,-0.66666667,-0.09732265,-0.4,0.10493948
600036,2025-02-11,38.08,38.29,38.35,37.97,48990720.0,1.0,0,0,0,0,0.36457723,-0.7887977,-0.49395988,-0.22222222,-0.51127636,0.5113577,-1.0,-0.17064113,-0.38,0.05555556
600036,2025-02-12,38.27,38.89,38.93,37.9,64596424.0,1.0,0,0,0,0,0.31907831,-0.85430539,-0.51152467,-0.22222222,-0.70284051,0.29029659,-0.75,-0.76016419,-0.64,0.10027338
600036,2025-02-13,38.92,38.97,39.2,38.63,49465439.0,1.0,0,0,0,0,0.42571261,-0.80726549,-0.471709,-0.66666667,-0.73539193,0.45936128,-1.0,-0.94352159,-0.09,0.45402187
600036,2025-02-14,38.96,39.27,39.27,38.8,53374874.0,1.0,0,0,0,0,0.40402265,-0.56926256,-0.47910737,-0.77777778,-0.80057145,0.34810452,-1.0,-0.94841735,0.32,0.89767624
