date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-06-16,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.019198656
2025-06-17,99954836.0242238,1.4551915228366852e-19,90327951.55239105,0.9032795155239105,45163.97577619554,0.0004516397577619554,90327951.55239105,9626884.471832756,-0.0032759905
2025-06-18,99432919.44626197,-0.003918351819620874,220669790.6654358,1.3040073326863015,175422.34012260434,0.0013031722078443609,90103242.87204742,9329676.574214552,0.018898845
2025-06-19,98197737.05961017,-0.011288274448713482,333255898.15940857,1.1322820261233442,288178.64282817836,0.0011339936847224183,88640426.36489868,9557310.694711497,-0.0024193525
2025-06-20,98533256.74520038,0.004883639109510547,477142357.73875713,1.4652726619555745,432221.26640771626,0.0014668629633705097,88807660.67368984,9725596.071510542,0.021826982
2025-06-23,98645187.44191203,0.0026536734365883094,627012113.7211561,1.5210068248322588,581765.6557413458,0.0015177047250182765,89719869.05727386,8925318.38463816,0.022151828
2025-06-24,100222328.9967153,0.017723139342945938,797413622.1137762,1.7274183648640977,752926.5034820915,0.0017351160475166112,89949492.76356697,10272836.233148344,0.0
2025-06-25,101040691.92119111,0.009358627488950529,917200434.8168612,1.1952108267910122,872507.022161591,0.0011931524628949568,91300024.2538929,9740667.667298209,0.010835886
2025-06-26,100545798.87660262,-0.0031939342280432126,1089383341.1291838,1.7040946873821927,1044682.7423978207,0.0017040235667677526,90991679.08172607,9554119.794876553,0.012251139
2025-06-27,100897352.31603123,0.004831237604739793,1223224092.9520369,1.331142159277212,1178889.9475004547,0.0013347867996687086,90744533.16669464,10152819.149336593,-0.005295038
2025-06-30,101167869.13095295,0.004433408055351126,1400526883.5061789,1.757259100306153,1355692.2671002264,0.0017522989012237948,92192794.20995712,8975074.920995831,0.02433467
2025-07-01,101362792.43310967,0.0025309897118419348,1461277848.257184,0.6004966327042864,1416823.800882923,0.0006042583906118173,91687710.98251343,9675081.450596247,0.021529317
2025-07-02,102817616.11266994,0.015634396646015594,1590360680.032134,1.2734735170218707,1546746.2233696335,0.001281756543678961,91593275.66103935,11224340.451630585,0.0014533997
2025-07-03,102771402.8131791,0.0013096159881394653,1772356252.2679567,1.770081617496244,1727611.1167840112,0.0017590846807436357,93989284.89785194,8782117.915327167,-0.0014513135
2025-07-04,102985688.71753043,0.003585490752626196,1925965173.8802195,1.4946660005361372,1881811.126853763,0.001500417488219568,93175593.897295,9810094.820235439,0.028342962
2025-07-07,102992184.514249,0.0013115822286594665,2054497974.6368647,1.2480646811926024,2010389.529263364,0.0012485074772113861,93219464.79051113,9772719.723737864,0.0014134645
2025-07-08,103067376.25667827,0.0024019202767142796,2227018306.726289,1.6750817831770128,2182576.8031619657,0.0016718479631314123,94132960.18848419,8934416.068194073,-0.025405765
2025-07-09,102173899.36971349,-0.007326697695957628,2364824929.6533346,1.337053759706206,2320910.181978546,0.0013421645513908874,92324304.9012661,9849594.468447395,-0.0043447018
2025-07-10,102251149.27814789,0.002085074213779835,2500444521.1280584,1.3273408601543923,2456700.4364412655,0.0013290111789838427,92196019.08817291,10055130.189974973,0.0021817684
2025-07-11,103004880.42609346,0.008979694679332195,2664555302.722168,1.6049773792535913,2621153.389624284,0.0016083237630480488,92429860.01148224,10575020.414611224,-0.028301835
